weight,value
Wcb11,-0.35030080426641935
Wcb12,-0.24547914726616185
Wcb13,-0.08384348628923491
Wcb14,0.786419573178249
Wcb15,0.417779245610797
Wcb16,-0.32370869166159255
Wcb17,0.44153356161012564
Wcb18,0.47709470393228864
Wcb21,-0.22078715702452054
Wcb22,-0.8627179947169356
Wcb23,0.11368709986744212
Wcb24,0.0661103663511456
Wcb25,-0.31279691215156613
Wcb26,0.671252515271096
Wcb27,-0.8486455411162466
Wcb28,0.41978078198447294
Wcb31,0.04799110842735124
Wcb32,0.36667469850810847
Wcb33,-0.07610749034858573
Wcb34,0.48535607747778664
Wcb35,0.6735074480088911
Wcb36,-0.22611410454448863
Wcb37,-0.09401894844795379
Wcb38,-0.41867154360213776
Wcb41,-0.7581301783857594
Wcb42,0.031142592905867853
Wcb43,0.323481012420225
Wcb44,-0.6259796187023638
Wcb45,-0.377128831679932
Wcb46,0.25437695627670337
Wcb47,-0.23799730166007127
Wcb48,-0.04784797721624593
