weight,value
Wba11,0.5612215317756436
Wba12,0.10205512062001007
Wba13,-0.47889623397865244
Wba14,0.5986406291166136
Wba15,-0.10254001909443344
Wba16,0.8753688620726647
Wba21,-0.6340896875426413
Wba22,0.5527309320601681
Wba23,-0.4263854926011163
Wba24,-0.5606535520631521
Wba25,0.7607904547072553
Wba26,-0.9707122283435724
Wba31,-0.06512809232421689
Wba32,-0.1129736525452993
Wba33,0.3742544071001276
Wba34,-0.8285783054573188
Wba35,-0.5648588143806014
Wba36,0.6129884424209417
Wba41,-0.0062430740138263
Wba42,0.7688338997333639
Wba43,0.06235096871615403
Wba44,-0.44711953183774744
Wba45,0.7695206533700449
Wba46,0.28650741198495655
Wba51,-0.36867001390691845
Wba52,-0.09825281016412997
Wba53,0.4812702595018435
Wba54,0.13893415229859848
Wba55,-0.44477458507424605
Wba56,-0.39903820878435237
Wba61,0.6780127174573604
Wba62,-0.3093822935226435
Wba63,-0.5151243256447529
Wba64,0.5809371511163958
Wba65,0.5887119506486637
Wba66,0.7568146055364058
Wba71,0.8820694327242443
Wba72,0.7995667680834592
Wba73,-0.9104025936315352
Wba74,0.7549845605941963
Wba75,0.7845941377261766
Wba76,-0.6610642184899918
Wba81,0.578936123189028
Wba82,-0.7699799507192785
Wba83,0.6702195661495765
Wba84,0.8644147549822009
Wba85,-0.0529357248276027
Wba86,-0.4972818691806006
