weight,value
Wcb11,0.143769963207794
Wcb12,0.5974859207239399
Wcb13,0.4773549877897809
Wcb14,0.8012048239969779
Wcb15,-0.7790811295468089
Wcb16,0.4757870123128335
Wcb17,0.5369503221444606
Wcb18,0.3294296466275184
Wcb21,-0.6999820105297445
Wcb22,-0.04766734209894943
Wcb23,0.44526940985232627
Wcb24,0.13087005108971755
Wcb25,0.36234541519537405
Wcb26,0.34487223393922584
Wcb27,-0.4371340502616742
Wcb28,0.43008523735968157
Wcb31,-0.4635422224291026
Wcb32,0.08255946033746654
Wcb33,0.09810823755275996
Wcb34,0.12754550835447795
Wcb35,-0.8258526244572372
Wcb36,0.3783024058855543
Wcb37,0.7003756334015813
Wcb38,0.32564358510834374
Wcb41,-0.38035008123191116
Wcb42,-0.08701867953051574
Wcb43,0.47049472960622557
Wcb44,-0.529773910146639
Wcb45,0.7926871662596074
Wcb46,-0.6358792538172743
Wcb47,-0.5617987265594652
Wcb48,0.19508474510114335
