weight,value
Wba11,-0.41080870667147285
Wba12,-0.46715085582412375
Wba13,-0.9823058147619981
Wba14,-0.013051245003173234
Wba15,-0.2416277084617034
Wba16,0.7726971452518469
Wba21,-0.7084626334719701
Wba22,-0.5733993036042493
Wba23,0.1079719124500577
Wba24,-0.9284277763921088
Wba25,0.07792074544093577
Wba26,-0.01401608522190067
Wba31,0.5879420879374456
Wba32,-0.5971935063441258
Wba33,-0.7293473380833992
Wba34,-0.4516696477993518
Wba35,-0.46798890254476105
Wba36,-0.6792383345448345
Wba41,0.9066376717174794
Wba42,-0.3189565396762111
Wba43,0.09105771531362507
Wba44,0.36137234392122447
Wba45,0.6141208088443848
Wba46,0.6507542456900446
Wba51,0.2985442253444042
Wba52,0.46712755200513756
Wba53,0.08215587907375373
Wba54,-0.5564046035572306
Wba55,0.7158961024696899
Wba56,-0.27652393015494936
Wba61,0.1553211430060095
Wba62,0.5771005951404182
Wba63,-0.1149013484672635
Wba64,0.24294554780344446
Wba65,0.4284792162367144
Wba66,0.6134688346181799
Wba71,-0.17771722670546147
Wba72,-0.5206886390280293
Wba73,-0.1196815002078183
Wba74,-0.19220682794960056
Wba75,0.8135411210078203
Wba76,0.8468756916211229
Wba81,0.7728879059080994
Wba82,0.9103413307144276
Wba83,-0.8292806616220423
Wba84,-0.14543651944983307
Wba85,-0.029920294480978833
Wba86,0.14733963282716958
