weight,value
Wcb11,-0.1237861092698757
Wcb12,0.14237231945005596
Wcb13,-0.6468948758722433
Wcb14,0.6233719117611367
Wcb15,0.12027183160506327
Wcb16,0.2031701695799512
Wcb17,-0.27865277863941856
Wcb18,0.14751143343284615
Wcb21,0.6860349697749771
Wcb22,0.4472298770992679
Wcb23,-0.8613635829200051
Wcb24,-0.43610393502873335
Wcb25,-0.4363726475804588
Wcb26,-0.4906336475510259
Wcb27,-0.8655686850454495
Wcb28,0.13860409167391596
Wcb31,-0.13469139671746985
Wcb32,-0.8152559402831256
Wcb33,0.7124243675198263
Wcb34,-0.05002648618408848
Wcb35,0.675928169004804
Wcb36,-0.12747051592812736
Wcb37,0.15789623873313632
Wcb38,-0.2063979127853889
Wcb41,-0.4227517933938651
Wcb42,0.0912814768734528
Wcb43,-0.8500400314150687
Wcb44,-0.7450242658324813
Wcb45,0.7766386690818483
Wcb46,0.21538748017755105
Wcb47,0.3895588178478193
Wcb48,-0.25030005368104025
