weight,value
Wba11,-0.7853727886185631
Wba12,-0.04381707673488857
Wba13,-0.24959266104013933
Wba14,0.24798536684652098
Wba15,-0.9631020145921317
Wba16,0.08612102792636944
Wba21,-0.6965423665482681
Wba22,0.5789975721783764
Wba23,-0.45193413036062574
Wba24,-0.6624737711964885
Wba25,0.64942798445114
Wba26,-0.9794452042753267
Wba31,-0.3232647506503481
Wba32,-0.7104205415745851
Wba33,0.8272340248055935
Wba34,-0.4809724420401715
Wba35,-0.7212310886246897
Wba36,0.7691916833700979
Wba41,-0.5698314535834036
Wba42,0.2825494205306031
Wba43,-0.5688904964616126
Wba44,0.11410005995346556
Wba45,0.5760667287353717
Wba46,-0.9025155830536122
Wba51,-0.14154929560402715
Wba52,0.7359593204881466
Wba53,0.4680617350028216
Wba54,-0.7260293845201831
Wba55,0.021997029153259472
Wba56,0.6704341272487997
Wba61,-0.7550895430638228
Wba62,-0.06720077577639465
Wba63,0.3196190775768957
Wba64,-0.5260401127487332
Wba65,0.5450050084302289
Wba66,-0.3443894843142506
Wba71,-0.4001430817645824
Wba72,-0.020084236607184662
Wba73,0.37049852828283053
Wba74,0.18805744966319912
Wba75,0.40046274728680126
Wba76,-0.1351921861113521
Wba81,-0.48809601370804484
Wba82,0.186117120689215
Wba83,-0.6360701813627543
Wba84,0.8616657047472657
Wba85,0.03705671059461239
Wba86,-0.9305939399508489
