weight,value
Wcb11,-0.6678641979546913
Wcb12,-0.44796039572667706
Wcb13,0.6831081043570565
Wcb14,0.415331757451767
Wcb15,-0.843021887642474
Wcb16,0.4930342343205486
Wcb17,0.6793505313479729
Wcb18,0.2146643090613472
Wcb21,0.6837875093058113
Wcb22,0.15081294835489417
Wcb23,-0.7017254912045807
Wcb24,-0.25113623397038953
Wcb25,0.6386106162618713
Wcb26,0.6475155667930348
Wcb27,-0.6059002534739246
Wcb28,0.5629129070457226
Wcb31,-0.658464108794664
Wcb32,0.5129990203918492
Wcb33,0.446735034586367
Wcb34,0.6867975221660111
Wcb35,0.7947237960834725
Wcb36,-0.21747826098428194
Wcb37,-0.5385092717198245
Wcb38,0.43374628616699756
Wcb41,0.531301200480477
Wcb42,-0.32572265483412155
Wcb43,-0.1232717609239793
Wcb44,0.6614178337930885
Wcb45,-0.32597842725826576
Wcb46,-0.5813422040456163
Wcb47,-0.12100883305223911
Wcb48,0.7385626859644111
