weight,value
Wba11,-0.23339088826651522
Wba12,-0.8341802515816231
Wba13,0.8236554032090675
Wba14,0.6488088220577958
Wba15,0.6255072109373209
Wba16,0.43660146873797956
Wba21,-0.2194202582582866
Wba22,0.8905015213751049
Wba23,-0.6354803744249242
Wba24,0.620536487815255
Wba25,-0.8728198024212095
Wba26,-0.7112791213488535
Wba31,0.4153556617713179
Wba32,0.5314593847024944
Wba33,0.2517243955880954
Wba34,0.289049183941381
Wba35,-0.3683012911612648
Wba36,0.6632936836755119
Wba41,0.22216235341012433
Wba42,0.3288489319306572
Wba43,-0.621042004556914
Wba44,-0.126838893907541
Wba45,0.12814629300826788
Wba46,-0.9300324085882297
Wba51,-0.5547168407347323
Wba52,0.02290385269822008
Wba53,-0.8299618363776511
Wba54,0.6895118233512677
Wba55,0.6248950853456746
Wba56,0.939652331990579
Wba61,0.1276891500151557
Wba62,0.3161147323369712
Wba63,-0.5298143369100096
Wba64,0.013703092988779524
Wba65,0.15670562630751902
Wba66,-0.011134856657973407
Wba71,-0.741237170809172
Wba72,0.9296320514764159
Wba73,0.3760336501729683
Wba74,0.5354729523112148
Wba75,-0.5513581060448742
Wba76,-0.8619745655664541
Wba81,-0.593719624447595
Wba82,0.659811880453914
Wba83,0.5266619965247922
Wba84,0.38120863557305074
Wba85,-0.082356195236177
Wba86,-0.6752858318034334
