weight,value
Wcb11,0.31541756320490555
Wcb12,-0.1325659612453063
Wcb13,-0.5572881752905944
Wcb14,0.12437617082259957
Wcb15,0.37561166892923387
Wcb16,-0.4055503638911253
Wcb17,-0.5896590783479181
Wcb18,-0.16565976768702803
Wcb21,0.08902572067633886
Wcb22,-0.664740065637704
Wcb23,-0.10011513122798733
Wcb24,-0.6321380260177957
Wcb25,0.4370529414676826
Wcb26,0.31253428321008214
Wcb27,-0.8491319076692543
Wcb28,0.5864472702464123
Wcb31,0.05008549123559572
Wcb32,-0.8535234900846579
Wcb33,-0.16491312445873577
Wcb34,0.21738511613190206
Wcb35,-0.03447833997261942
Wcb36,0.2879630691417054
Wcb37,-0.7933212894166836
Wcb38,-0.22988464733249084
Wcb41,-0.524677788426743
Wcb42,-0.06962042961265852
Wcb43,-0.3835779711113512
Wcb44,-0.771642403582317
Wcb45,-0.2771342215699661
Wcb46,0.05317072551102145
Wcb47,-0.5294275974613667
Wcb48,-0.487924712743936
