weight,value
Wba11,-0.6009355081394175
Wba12,0.44930490173688903
Wba13,-0.5229767104036871
Wba14,-0.9411014551037529
Wba15,-0.9291267826603801
Wba16,0.49474089299472485
Wba21,0.5198205264458265
Wba22,0.15048005846707582
Wba23,0.1131910991125982
Wba24,0.04629649517763389
Wba25,-0.9218484091055944
Wba26,-0.014905145623440018
Wba31,-0.833912810816593
Wba32,0.6508030384407772
Wba33,0.6082727508523929
Wba34,-0.2999610181798549
Wba35,-0.3347316921174092
Wba36,0.7009818322659526
Wba41,-0.43809732795449585
Wba42,0.6425860556355892
Wba43,0.7413609620145417
Wba44,0.7972919797410194
Wba45,-0.5387091956064676
Wba46,-0.0137012100804832
Wba51,0.004288094834879831
Wba52,0.17344927278227157
Wba53,0.9915725764610323
Wba54,0.11635362047769066
Wba55,-0.2804117713403288
Wba56,0.7040979643122774
Wba61,0.5880794207233498
Wba62,-0.934370326344032
Wba63,-0.021664354160363372
Wba64,0.5115676852171528
Wba65,0.2720938522642883
Wba66,0.8026354288464527
Wba71,0.0007806505430270194
Wba72,0.18407745999097083
Wba73,0.6151118330445127
Wba74,0.300826100985078
Wba75,0.48151973704549655
Wba76,-0.07465175156744654
Wba81,0.16664924414266843
Wba82,0.2714224604593738
Wba83,0.5367094177300671
Wba84,-0.8049050536688326
Wba85,-0.6184777768398161
Wba86,0.28813359844461156
