weight,value
Wcb11,-0.35373969111698594
Wcb12,-0.42430423758390284
Wcb13,-0.7534930327868056
Wcb14,-0.2660854120457042
Wcb15,0.41122156489440487
Wcb16,0.5169229262676499
Wcb17,-0.49225408735638476
Wcb18,-0.6680672201003746
Wcb21,-0.5315063885784358
Wcb22,0.5848088036474167
Wcb23,0.2616007383442195
Wcb24,-0.38270572638389855
Wcb25,0.7585640972303631
Wcb26,0.3610569783279583
Wcb27,0.5125034839214205
Wcb28,-0.0059824397961243374
Wcb31,0.2577787880170935
Wcb32,0.4702169390977307
Wcb33,-0.21846598688278962
Wcb34,0.31110959272673006
Wcb35,0.6425237288420098
Wcb36,-0.16387169958895573
Wcb37,-0.15732546773656816
Wcb38,-0.8358404238292221
Wcb41,0.2653111475922133
Wcb42,0.2759958474005162
Wcb43,-0.2821135291134938
Wcb44,-0.3642375625090511
Wcb45,-0.05285701070991685
Wcb46,-0.7299902856893326
Wcb47,0.18042296145944617
Wcb48,-0.28933255130188323
