feature,mean,std
lag1,0.0009381513294790375,0.008848316210121748
lag2,0.00093252537345177,0.008849227170006392
vol12,0.008407836618236759,0.002915068247719201
mom12,0.011083387358162592,0.030175246480054572
drawdown,-0.027850109906525262,0.023985667493463213
sma,0.009766370553008908,0.021479904250007318
