weight,value
Wba11,0.39842689718866514
Wba12,-0.6892209503876007
Wba13,-0.18493367022452176
Wba14,0.44538075882934325
Wba15,0.47342467411760536
Wba16,-0.08362103064985794
Wba21,0.9282488220481293
Wba22,-0.21939617474542264
Wba23,-0.45766851009423176
Wba24,0.14017388920250998
Wba25,-0.11708967466718212
Wba26,-0.4692274591235373
Wba31,-0.9753931773340849
Wba32,0.08557621604465505
Wba33,0.8783732119061382
Wba34,0.8391733327110913
Wba35,0.7746678357372254
Wba36,0.8496349301289778
Wba41,-0.2062242255892301
Wba42,-0.8629328449262506
Wba43,-1.007339503102299
Wba44,0.018019852542420542
Wba45,-0.9580828814822078
Wba46,-0.7950173093780295
Wba51,0.2934434957673271
Wba52,0.44144472112297684
Wba53,0.1098960183116084
Wba54,-0.0803913065416293
Wba55,-0.660997813836837
Wba56,0.3960825381096129
Wba61,-0.8096807362319657
Wba62,0.4630927232765491
Wba63,-0.15760826608229045
Wba64,0.8181853759910708
Wba65,-0.6703966450199672
Wba66,0.674737993784113
Wba71,0.7411491399210454
Wba72,0.5007468427334512
Wba73,0.855363248792481
Wba74,-0.5413904180953808
Wba75,-0.7114088685174194
Wba76,0.8961618100727855
Wba81,0.9118110159842893
Wba82,-0.2488245731581752
Wba83,0.19566319696488813
Wba84,0.03280607588375116
Wba85,0.31266523948173086
Wba86,0.9790837135065965
