weight,value
Wcb11,0.7643520297189655
Wcb12,0.11631386119427292
Wcb13,0.05551191909082576
Wcb14,0.11609801966676288
Wcb15,0.009362685753587613
Wcb16,-0.42357175299706423
Wcb17,0.6462385232534331
Wcb18,-0.25065687311701434
Wcb21,-0.666883926117358
Wcb22,0.010458150301234636
Wcb23,-0.589674718077232
Wcb24,0.7526580698765084
Wcb25,-0.5705639218088232
Wcb26,0.44351075863397765
Wcb27,0.7344341061824098
Wcb28,-0.638654535867187
Wcb31,-0.6936388171432744
Wcb32,-0.43223657747346134
Wcb33,0.8502712254614754
Wcb34,-0.691938025823559
Wcb35,0.5858411349591763
Wcb36,-0.8397618099192979
Wcb37,-0.6698714934081059
Wcb38,0.7933697675460356
Wcb41,0.6568169635094965
Wcb42,0.7175734777139962
Wcb43,0.481116489641853
Wcb44,0.7751257615301851
Wcb45,0.8250214656021732
Wcb46,-0.5273793769318829
Wcb47,0.06097869729722693
Wcb48,0.4241008614110611
