feature,mean,std
lag1,0.0021997395136239824,0.03499048906177319
lag2,0.002215904590953215,0.03498783554700249
vol12,0.03007780808023818,0.017878007226480468
mom12,0.02635832705344208,0.1198691637182834
drawdown,-0.39583636191925337,0.2860608268281822
sma,0.019120038025167607,0.08944529969256652
