weight,value
Wba11,0.8906220664470521
Wba12,0.9629253650425269
Wba13,0.23346182603208904
Wba14,0.1937687869421838
Wba15,-0.8390307620818698
Wba16,-0.18289462735207904
Wba21,0.23658218205642212
Wba22,0.005027669669804756
Wba23,-0.44201299030661445
Wba24,-0.26129842511648044
Wba25,-0.8092352188723358
Wba26,0.007016402517539492
Wba31,0.47461878098795957
Wba32,-0.8299848877268257
Wba33,-0.5049282406341735
Wba34,-0.2878822800806116
Wba35,0.9363970806290313
Wba36,-0.3979836895113648
Wba41,-0.5644934151173046
Wba42,-0.19788331738305612
Wba43,0.7259235256849718
Wba44,0.6517845198667055
Wba45,0.22039415837855078
Wba46,0.857684054298226
Wba51,0.6759832943509227
Wba52,-0.3508774295678233
Wba53,-0.5747924355146733
Wba54,-0.623756084202914
Wba55,-0.8974725646190309
Wba56,0.3778768123562654
Wba61,-0.06591037467325747
Wba62,0.39292572882325427
Wba63,0.10517697819437725
Wba64,0.4919198841640479
Wba65,-0.14887419680693906
Wba66,0.3270733265194538
Wba71,0.7677441150737917
Wba72,0.3293281555958472
Wba73,0.6443986481971075
Wba74,-0.5461459081227827
Wba75,-0.8953759309080442
Wba76,-0.5435379769586699
Wba81,0.5539922864190626
Wba82,0.8871400272496303
Wba83,-0.5287784111663298
Wba84,-0.36668818808805637
Wba85,0.734364743335513
Wba86,0.1382756674924679
