weight,value
Wcb11,-0.05392782126785925
Wcb12,0.503182086236205
Wcb13,-0.45282519178653596
Wcb14,-0.6431602654373365
Wcb15,-0.07934326034977823
Wcb16,0.4533201981904781
Wcb17,0.2822619812829622
Wcb18,0.7964178551952079
Wcb21,0.6783080616085967
Wcb22,0.47148210908754495
Wcb23,0.5957638147497457
Wcb24,0.35113528368415287
Wcb25,0.12104244113288522
Wcb26,-0.6253356447011773
Wcb27,-0.1396782979096506
Wcb28,0.15971807509775726
Wcb31,0.6838633055620779
Wcb32,-0.573612588028964
Wcb33,-0.1113143498535503
Wcb34,-0.4922656581234279
Wcb35,0.6523902654225411
Wcb36,0.6439987173405813
Wcb37,-0.4933429190526942
Wcb38,0.816079934402733
Wcb41,-0.33357617271514833
Wcb42,0.5603530563116116
Wcb43,-0.8337077833542664
Wcb44,0.4479533047881766
Wcb45,-0.24445088715318639
Wcb46,0.4506600285485665
Wcb47,0.23889236355267984
Wcb48,0.8039910436858312
