weight,value
Wcb11,0.5393300946265661
Wcb12,-0.17834654743353276
Wcb13,-0.5639161595892499
Wcb14,0.05674731317482057
Wcb15,-0.6778314534226262
Wcb16,-0.5323730282890466
Wcb17,-0.8006292096511344
Wcb18,-0.48590413988542264
Wcb21,-0.3656846237373533
Wcb22,0.3598634377929343
Wcb23,0.336842896468704
Wcb24,-0.6682094637442126
Wcb25,0.15359423427641009
Wcb26,0.6685169005217673
Wcb27,-0.003352095198615528
Wcb28,-0.7522986652889158
Wcb31,-0.42459134320691627
Wcb32,0.03450145837609519
Wcb33,-0.6295078993849571
Wcb34,0.4488223631666308
Wcb35,-0.14563052751931435
Wcb36,0.7742711548815201
Wcb37,-0.5309865815686946
Wcb38,-0.22286122029402716
Wcb41,-0.6719478668806831
Wcb42,0.5728363163374376
Wcb43,-0.6375389221380108
Wcb44,-0.11865660117983808
Wcb45,-0.6028677833727124
Wcb46,-0.6395020665926591
Wcb47,0.7588297318132651
Wcb48,0.7901634126608904
