weight,value
Wcb11,
Wcb12,
Wcb13,
Wcb14,
Wcb15,
Wcb16,
Wcb17,
Wcb18,
Wcb21,
Wcb22,
Wcb23,
Wcb24,
Wcb25,
Wcb26,
Wcb27,
Wcb28,
Wcb31,
Wcb32,
Wcb33,
Wcb34,
Wcb35,
Wcb36,
Wcb37,
Wcb38,
Wcb41,
Wcb42,
Wcb43,
Wcb44,
Wcb45,
Wcb46,
Wcb47,
Wcb48,
